Date,BNB-USD,BTC-USD,ETH-USD,LINK-USD,MATIC-USD,SOL-USD,XRP-USD
9/6/2020,17.43537712,9795.700195,244.9114532,4.450149059,0.020238999,0.658002019,0.202013001
10/6/2020,17.41046715,9870.094727,247.4449463,4.420300961,0.021307999,0.644867003,0.202938005
11/6/2020,16.30892563,9321.78125,231.7026672,3.97121191,0.019723,0.573741972,0.190180004
12/6/2020,16.66913986,9480.84375,237.4932098,4.090941906,0.020482,0.593868971,0.193942994
13/6/2020,16.82373428,9475.277344,238.908844,4.114653111,0.020656999,0.608942986,0.193105996
14/6/2020,16.65624237,9386.788086,234.1147003,3.955013037,0.020646,0.587077022,0.191616997
15/6/2020,16.38480186,9450.702148,229.9289093,3.933902979,0.020447001,0.570639014,0.193074003
16/6/2020,16.42195702,9538.024414,234.4161682,4.048714161,0.020603999,0.585575998,0.191306993
17/6/2020,16.40254211,9480.254883,233.0282745,4.163669109,0.020734999,0.581561983,0.193443
18/6/2020,16.20858955,9411.84082,232.1011658,4.168980122,0.020470001,0.620956004,0.190956995
19/6/2020,15.90708637,9288.018555,227.1382904,4.079961777,0.020106999,0.684332013,0.186790004
20/6/2020,16.04755974,9332.34082,229.2742615,4.170770168,0.022612,0.643590987,0.188500002
21/6/2020,16.00122643,9303.629883,228.9898224,4.189149857,0.021406,0.67314899,0.185609996
22/6/2020,16.47528839,9648.717773,242.5331879,4.467934132,0.022069,0.726848006,0.189272001
23/6/2020,16.42256737,9629.658203,244.1421509,4.806252003,0.022689,0.708297014,0.188679993
24/6/2020,16.02675819,9313.610352,235.7724609,4.719017029,0.022338999,0.736994028,0.184272006
25/6/2020,15.92270947,9264.813477,232.9444885,4.814206123,0.021591,0.713194013,0.183569998
26/6/2020,15.74922371,9162.917969,229.668045,4.680805206,0.020808,0.741144001,0.182670996
27/6/2020,15.1852541,9045.390625,222.9597931,4.426551819,0.019436,0.713548005,0.176851004
28/6/2020,15.42008877,9143.582031,225.347168,4.563483238,0.020094,0.798494995,0.177691996
29/6/2020,15.50523186,9190.854492,228.19487,4.617929935,0.019687001,0.852454007,0.177958995
30/6/2020,15.41358185,9137.993164,226.3150024,4.569189072,0.018990001,0.860094011,0.175870001
1/7/2020,15.82946014,9228.325195,231.1134186,4.698256016,0.018731,0.832642019,0.176975995
2/7/2020,15.5384903,9123.410156,229.3921967,4.846618176,0.019105,0.780219018,0.177243993
3/7/2020,15.29196167,9087.303711,225.3870697,4.744166851,0.019230001,0.76809299,0.176336005
4/7/2020,15.55298138,9132.488281,229.0741119,4.8045578,0.019497,0.780372024,0.177983999
5/7/2020,15.48022556,9073.942383,227.6645966,4.742169857,0.019067001,0.69166398,0.177017003
6/7/2020,16.2967701,9375.474609,241.5102234,5.365053177,0.019929999,0.707907975,0.188566998
7/7/2020,16.77022552,9252.277344,239.075531,5.712817192,0.020099999,0.753048003,0.184787005
8/7/2020,17.22765732,9428.333008,246.6700134,6.475725174,0.021633999,0.796712995,0.204692006
9/7/2020,16.88486862,9277.967773,243.0159607,6.104310989,0.020698,0.853452981,0.202910006
10/7/2020,17.26125145,9278.807617,240.9849854,6.138474941,0.021131,0.913559973,0.198651999
11/7/2020,17.62217903,9240.34668,239.4581757,6.11968708,0.021299999,0.924624026,0.201196998
12/7/2020,18.23654556,9276.5,242.1316986,7.309183121,0.021159001,1.016716003,0.200537995
13/7/2020,18.40956306,9243.614258,239.6045837,7.182291031,0.022423999,1.175734043,0.198575005
14/7/2020,18.08290863,9243.213867,240.2114868,8.10346508,0.022288,1.148074985,0.198808998
15/7/2020,17.59121513,9192.836914,238.4235229,8.643122673,0.022275001,1.289597988,0.197110996
16/7/2020,17.1438427,9132.227539,233.6408844,8.337705612,0.020925,0.872440994,0.194048002
17/7/2020,17.08497429,9151.392578,232.7730865,8.280392647,0.021155,0.977837026,0.194280997
18/7/2020,17.12671089,9159.040039,235.4838104,7.959280014,0.021436,0.966583014,0.199340999
19/7/2020,17.95577812,9185.817383,238.4875183,8.065190315,0.021229999,0.920349002,0.199135005
20/7/2020,17.48470879,9164.231445,236.1531677,7.272983074,0.02155,0.873089015,0.195065007
21/7/2020,17.71540833,9374.887695,245.0167236,7.28157711,0.021264,0.977165997,0.198988006
22/7/2020,18.0919075,9525.363281,262.1906433,7.466975212,0.021238999,1.044087052,0.203342006
23/7/2020,18.67329597,9581.072266,274.6890564,7.87447691,0.021067001,1.049844027,0.207578003
24/7/2020,19.1529007,9536.892578,279.2154236,7.432153225,0.020633001,0.99534601,0.204049006
25/7/2020,19.7764225,9677.113281,304.0567627,7.657824039,0.020825,1.252223015,0.214102
26/7/2020,19.5210247,9905.166992,309.6436157,7.499004841,0.020695999,1.565109968,0.214982003
27/7/2020,19.6203289,10990.87305,321.5140991,7.095582962,0.019828999,1.778635979,0.223672003
28/7/2020,20.17354774,10912.82324,316.6572571,7.223460197,0.020481,1.784067035,0.230277002
29/7/2020,19.89558983,11100.46777,318.1908875,7.116083145,0.020381,1.658288956,0.243099004
30/7/2020,20.01273537,11111.21387,334.5866394,7.416992188,0.020429,1.686807036,0.244522005
31/7/2020,20.66814613,11323.4668,345.554657,7.772912025,0.020258,1.538177967,0.25890401
1/8/2020,21.53043175,11759.59277,385.199707,8.304458618,0.020989999,1.526610017,0.289528996
2/8/2020,20.94488716,11053.61426,370.6717224,8.271776199,0.020001,1.742810011,0.287061989
3/8/2020,22.05501175,11246.34863,386.295166,9.164758682,0.020459,1.802610993,0.30994001
